Size,ICAO,IATA,City,Name,Max Runway,Lat,Long
Small,YMVG,,,Mount Cavenagh Airport,,-25.967,133.2
Small,YHBY,,,Henbury Airport,,-24.55,133.217
Small,YERL,,,Erldunda Airport,,-25.217,133.25
Small,YDRL,,,De Rose Hill Airport,,-26.433,133.258
Small,YMIB,,,Mintabie Airport,,-27.328,133.305
Small,YNAB,,,Nabarlek Airport,,-12.308,133.313
Small,YIDK,IDK,,Indulkana Airport,3000 ft,-26.967,133.325
Small,YLLA,,,Mobella Airport,,-29.798,133.345
Small,YTCY,,,Tarcoonyinna Airport,,-26.75,133.35
Small,YGBI,GBL,,South Goulburn Is Airport,4500 ft,-11.65,133.382
Small,YTIT,,,Ti Tree Airport,,-22.132,133.42
Small,YWYB,,,Wynbring Airport,,-30.562,133.533
Small,YIMP,,,Impadna Airport,,-25.15,133.583
Small,YGDW,GTS,,Granite Downs Airport,,-26.948,133.607
Small,YALA,MRP,,Marla Airport,3000 ft,-27.333,133.627
Small,YGMD,,,Goomadeer Airport,,-12.1,133.667
Small,YHGR,,,Hugh River Airport,,-24.417,133.7
Small,YUMB,,,Umbeara Airport,,-25.747,133.702
Medium,YCDU,CED,,CEDUNA,5709 ft,-32.131,133.71
Small,YIDR,,,Idracowra Airport,,-25.063,133.733
Small,YNPB,,,Napperby Airport,,-22.533,133.763
Small,YMVY,,,Mount Valley Airport,,-14.083,133.817
Small,YBSP,,,Bond Springs Airport,,-23.515,133.843
Small,YBRC,,,Barrow Creek Airport,,-21.533,133.883
Small,YTYN,,,Tieyon Airport,,-26.217,133.917
Small,YMGG,,,Mulgathing Airport,,-30.229,133.986
Small,YLLC,,,Lilla Creek Airport,,-25.567,134
Small,YMYV,,,Maryvale Airport,,-24.66,134.032
Small,YCDH,,,Cadney Homestead Airport,,-27.908,134.053
Small,YLAM,,,Lambina Airport,,-26.913,134.058
Small,YHDD,,,Hodgson Downs Airport,,-15.222,134.076
Small,YWLB,,,Welbourn Hill Airport,,-27.358,134.093
Small,YMSK,,,Mount Skinner Airport,,-22.183,134.117
Small,YDPW,,,Deep Well Airport,,-24.3,134.133
Small,YCWH,,,Commonwealth Hill Airport,,-29.962,134.143
Small,YNUT,,,Nutwood Downs Airport,,-15.817,134.15
Small,YWIB,,,Mount Willoughby Airport,,-27.983,134.15
Small,YHSB,,,Horseshoe Bend Airport,,-25.217,134.267
Small,YKBY,KBY,,STREAKY BAY,4432 ft,-32.836,134.293
Small,YCPH,,,Copper Hills Airport,,-27.978,134.317
Small,YMAK,,,Mabel Creek Station Airport,,-28.942,134.333
Small,YMTC,,,Mount Clarence Airport,,-28.833,134.358
Small,YMAI,,,Manguri Airport,,-28.98,134.372
Small,YSTT,,,Santa Teresa Airport,,-24.118,134.39
Small,YWBI,,,Warrabri Airport,3000 ft,-21,134.397
Small,YALM,,,Allambie Airport,,-24.267,134.4
Small,YGDR,,,The Garden Airport,,-23.287,134.44
Small,YALC,,,Alcoota Station Airport,,-22.833,134.45
Small,YBNY,,,Brunchilly Airport,,-18.87,134.462
Small,YEYD,,,Evelyn Downs Airport,,-28.205,134.488
Small,YFLS,,,Flinders Island Airport,,-33.7,134.517
Small,YBDS,,,Birthday Siding Airport,,-30.283,134.517
Small,YROV,,,Ross River Airport,,-23.599,134.517
Small,YWSI,,,Wirrida Siding Airport,,-29.567,134.517
Small,YUPG,,,Urapunga Airport,,-14.717,134.567
Small,YUTS,,,Utopia Station Airport,,-22.233,134.58
Small,YTNR,,,Tanumbirini Airport,,-16.45,134.65
Small,YMDK,,,Mount Riddock Airport,,-23.033,134.683
Small,YMYW,,,Murray Downs Airport,,-21.048,134.683
Medium,YCBP,CPD,,COOBER PEDY,4685 ft,-29.04,134.721
Small,YWNA,,,Wilgena Airport,,-30.767,134.73
Small,YAKG,,,Arckaringa Airport,,-27.947,134.745
Medium,YNGU,RPM,,NGUKURR,5020 ft,-14.723,134.748
Small,YTDM,,,Todmorden Airport,,-27.124,134.77
Small,YUTP,,,Utopia Airport,,-22.055,134.79
Small,YIGR,,,Ingomar Airport,,-29.633,134.793
Small,YCHR,,,Childra Airport,,-31.7,134.833
Small,YNCS,,,New Crown Airport,,-25.667,134.833
Small,YKDL,,,Kondoolka Airport,,-32.024,134.861
Small,YDLD,,,Delmore Downs Airport,,-22.459,134.884
Small,YRNG,RAM,,RAMINGINING,4825 ft,-12.356,134.898
Small,YBUL,,,Bulgunnia Airport,,-30.187,134.903
Small,YHTS,,,Harts Range Airport,,-22.985,134.918
Small,YRNW,,,Ringwood Airport,,-23.828,134.962
Small,YMNB,,,Mount Barry Airport,,-28.233,135
Small,YMNS,,,Mount Swan Airport,,-22.6,135.017
Small,YLVD,,,Lake Everard Airport,,-31.733,135.027
Small,YHMT,,,Hamilton Airport,,-26.72,135.073
Small,YHTA,,,Hiltaba Airport,,-32.143,135.099
Small,YMPA,MIN,,Minnipa Airport,3000 ft,-32.843,135.145
Small,YDPR,,,Dneiper Airport,,-22.617,135.2
Small,YAMJ,,,Ampilatwatja Airport,,-21.655,135.23
Small,YMDS,,,Macdonald Downs Airport,,-22.467,135.233
Small,YAMM,AMX,,Ammaroo Airport,,-21.738,135.242
Small,YKKH,,,Kokatha Airport,,-31.292,135.242
Small,YSAR,,,Mount Sarah Airport,,-27.043,135.242
Small,YMTX,,,Mount Dare Airport,,-26.062,135.247
Small,YEPR,,,Epenarra Airport,,-20.433,135.267
Small,YADO,,,Andado Airport,,-25.412,135.29
Small,YKGA,,,Kingoonya Airport,,-30.902,135.305
Small,YNWL,,,North Well Airport,,-30.846,135.309
Small,YDYD,,,Derry Downs Airport,,-22.083,135.333
Small,YMTP,,,Mount Hope Airport,,-34.137,135.338
Small,YHOA,,,Howard Island Airport,,-12.095,135.362
Small,YNUE,,,Numery Airport,,-23.983,135.4
Small,YOAD,,,Old Andado Airport,,-25.383,135.417
Small,YELK,,,Elkedra Airport,,-21.167,135.433
Small,YHKT,,,Huckitta Airport,,-22.943,135.447
Small,YOOD,ODD,,Oodnadatta Airport,3000 ft,-27.562,135.447
Small,YWUD,WUD,,WUDINNA,4954 ft,-33.043,135.447
Small,YBAH,,,Bauhinia Downs Airport,,-16.133,135.467
Small,YBBO,,,Bon Bon Airport,,-30.407,135.48
Small,YRDA,,,Yardea Airport,,-32.41,135.485
Small,DALH,,,Dalhousie Airport,,-26.429,135.506
Small,YCOF,,,Coffin Bay Airport,,-34.633,135.517
Small,YDLH,,,Dalhousie Airport,,-26.435,135.517
Small,YANL,AYL,,Anthony Lagoon Airport,,-18.018,135.535
Small,YCCK,,,Canteen Creek Airport,,-20.651,135.585
Small,YKWG,,,Kangaroo Well Airport,,-31.785,135.638
Small,YMAC,,,Macumba Airport,,-27.262,135.638
Small,YCUS,,,CUMMINS,4124 ft,-34.208,135.642
Small,YRRR,,,Raymangirr Airport,,-12.333,135.65
Small,YWHL,,,Walhallow Airport,,-17.767,135.65
Small,YMEB,,,Mount Eba Airport,,-30.176,135.671
Small,YARP,,,Arapunya Airport,,-22.317,135.7
Small,YCMM,,,Cummins Town Airport,,-34.258,135.708
Small,YNUM,NUB,,NUMBULWAR,4331 ft,-14.272,135.717
Small,YVIV,,,Mount Vivian Airport,,-30.583,135.717
Small,YCCF,,,Cape Crawford Airport,,-16.683,135.733
Small,YJNK,,,Jinka Airport,,-22.95,135.733
Small,YWRV,,,Walker River Airport,,-13.593,135.755
Small,YGLD,,,Glendambo Airport,,-30.967,135.775
Small,YMYH,,,Mallapunyah Springs Airport,,-16.967,135.783
Small,YLEV,LEL,,LAKE EVELLA,3494 ft,-12.499,135.806
Small,YBKS,,,Barkly Wayside Inn Airport,,-19.709,135.819
Small,YMOE,,,Moonaree Airport,,-31.966,135.875
Small,YCDB,,,Coondambo Airport,,-31.067,135.883
Small,YNPA,,,Nilpinna Airport,,-28.483,135.9
Small,YPKE,,,Peake Airport,,-28.25,135.9
Small,YBRU,BTD,,Brunette Downs Airport,,-18.64,135.938
Small,YGAN,,,Gan Gan Airport,,-13.067,135.95
Small,YMIV,,,Mount Ive Airport,,-32.444,136.069
Small,YORT,,,Ooratippra Airport,,-21.906,136.069
Small,YTBB,,,Tumby Bay Airport,3000 ft,-34.362,136.095
Small,YJVS,,,Jervois Airport,,-22.913,136.12
Small,YIKL,,,Baikal Airport,,-22.763,136.163
Small,YANK,,,Anna Creek Airport,,-28.897,136.17
Small,YKIA,,,Kiana Station Airport,,-17.242,136.175
Small,YJVM,,,Jervois Mine Airport,,-22.633,136.267
Small,YLUC,,,Lucy Creek Airport,,-22.467,136.267
Small,YKOL,,,Kolendo Airport,,-32.416,136.298
Small,YBRL,BOX,,BORROLOOLA,3770 ft,-16.075,136.302
Small,YWMC,,,William Creek Airport,,-28.907,136.342
Small,YATL,,,Atula Airport,,-23.283,136.367
Small,YPKI,,,Parakylia Airport,,-30.4,136.392
Small,YMWO,,,Mahanewo Airport,,-31.718,136.433
Small,YANW,,,Annitowa Airport,,-21.2,136.448
Small,YIMB,,,Kimba Airport,5100 ft,-33.1,136.46
Small,YNIG,,,Nonning Airport,,-32.522,136.494
Medium,YCEE,CVC,,CLEVE,4429 ft,-33.71,136.505
Small,YDHL,,,Dhalinbuy Airport,,-12.413,136.537
Small,YCBO,,,Cape Borda Airport,,-35.757,136.598
Small,YARD,,,Argadargada Airport,,-21.677,136.678
Small,YALX,AXL,,Alexandria Homestead Airport,,-19.06,136.71
Small,YROK,,,Rocky River Airport,,-35.93,136.72
Small,YRXB,,,Roxby Downs Station Airport,,-30.717,136.737
Small,YCWE,,,Cape Wessels Airport,,-11,136.75
Small,YTLT,,,Tarlton Downs Airport,,-22.633,136.8
Small,YYOO,,,Yalymboo Airport,,-31.803,136.86
Small,YCWL,CCW,,Cowell Airport,4800 ft,-33.667,136.892
Small,YBNM,,,Benmara Airport,,-17.937,136.9
Small,YRBR,,,Robinson River Airport,,-16.718,136.945
Small,YSDN,,,Soudan Station Airport,,-20.05,137.017
Small,YMTA,MIY,,Mittebah Airport,,-18.809,137.082
Small,YCKA,,,Curdimurka Airport,,-29.477,137.088
Small,YAMK,ADO,,Andamooka Airport,3000 ft,-30.438,137.137
Small,,,,Lake Eyre North,,-28.417,137.3
Small,YAVD,,,Avon Downs Airport,,-20.033,137.517
Medium,YKSC,KGC,,KINGSCOTE,4600 ft,-35.714,137.521
Small,YMIN,XML,,Minlaton Airport,,-34.75,137.533
Small,YYOR,ORR,,Yorketown Airport,,-35,137.617
Small,YCPP,,,Copper Triangle Airport,,-33.982,137.662
Medium,YPAG,PUG,,PORT AUGUSTA,5413 ft,-32.507,137.717
Small,YMLD,,,Maitland Airport,,-34.393,137.717
Small,YAUS,AWP,,Austral Downs Airport,,-20.5,137.75
Small,YRBM,,,Redbank Mine Airport,,-17.183,137.767
Small,YARS,,,Ardrossan Airport,,-34.442,137.883
Small,YMLR,,,Muloorina Airport,,-29.247,137.91
Small,YNUJ,,,Nudjaburra Airport,,-17.967,137.933
Small,YWOR,WLL,,Wollogorang Airport,,-17.22,137.935
Small,YMCR,MFP,,Manners Creek Airport,,-22.1,137.983
Medium,YPIR,PPI,,PORT PIRIE,3422 ft,-33.239,137.995
Small,YMRE,RRE,,Marree Airport,4400 ft,-29.663,138.065
Small,YRKS,,,Rocklands Airport,,-19.867,138.1
Small,YQRN,,,Quorn Airport,,-32.32,138.102
Small,YCMW,CML,,Camooweal Airport,,-19.912,138.125
Small,YWRA,,,Wooroona Airport,,-20.482,138.168
Small,YWML,,,Westmoreland Airport,,-17.333,138.233
Small,YKLR,,,Kalamurina Airport,,-27.717,138.262
Small,YBWT,,,Bowthorn Airport,,-18.083,138.275
Small,YHDY,HIP,,Headingly Airport,,-21.333,138.283
Small,YKFC,,,Kingfisher Camp Airport,,-17.869,138.295
Small,YCWI,CWR,,Cowarie Airport,,-27.712,138.328
Small,YNOF,,,Norfolk Airport,,-19.333,138.333
Small,YBVA,,,Balaklava Airport,,-34.084,138.334
Small,YUDG,,,Urandangi Airport,,-21.59,138.358
Small,YBOC,,,Booleroo Centre Airport,3000 ft,-32.905,138.36
Small,YHEG,,,Hells Gate Airport,,-17.467,138.367
Small,YSNT,,,Snowtown Airport,,-33.8,138.367
Medium,YLEC,LGH,,LEIGH CREEK,5610 ft,-30.598,138.426
Small,YBAW,BKP,,Barkly Downs Airport,,-20.496,138.475
Small,YCRT,,,Carrieton Airport,,-32.417,138.517
Small,YALG,,,Adels Grove Airport,,-18.7,138.533
Small,YCVG,,,Calvin Grove Airport,,-34.697,138.578
Small,YRYK,,,Rawnsley Park Airport,,-31.654,138.61
Small,YCDT,,,Carandotta Airport,,-21.967,138.617
Small,YUDL,,,Undilla Airport,,-19.625,138.633
Small,YLAH,LWH,,Lawn Hill Airport,3000 ft,-18.568,138.635
Small,YORR,,,Orroroo Airport,,-32.773,138.665
Small,YCNY,,,CENTURY MINE,5734 ft,-18.753,138.707
Small,YGAW,,,Gawler Airport,,-34.602,138.717
Small,YBLM,,,Blinman Airport,,-31.119,138.726
Small,YGWA,,,Goolwa Airport,3500 ft,-35.482,138.752
Small,YFFT,,,Farrell Flat Airport,,-33.833,138.767
Small,YDMG,DMD,,DOOMADGEE,5403 ft,-17.94,138.822
Small,YGLO,GLM,,Glenormiston Airport,,-22.888,138.825
Small,YPTB,,,Peterborough Airport,,-33.005,138.858
Small,YKLL,,,Kallala Airport,,-21.75,138.883
Small,YLYK,,,Lyndoch Airport,,-34.622,138.914
Small,YNPU,,,Nepabunna Airport,,-30.603,138.948
Small,YWPA,,,Wirrealpa Airport,,-31.133,138.967
Small,YSYN,,,Strathalbyn Airport,,-35.312,138.99
Small,YMNP,,,Murnpeowie Airport,,-29.592,139.052
Small,YMTW,,,Martins Well Airport,,-31.474,139.111
Small,YMTI,ONG,,MORNINGTON ISLAND,4987 ft,-16.663,139.178
Small,YAOR,,,Ardmore Airport,,-21.65,139.183
Small,YTEN,,,Tenneco Station Five Airport,,-31.975,139.207
Small,YMBD,,,Murray Bridge Airport,3000 ft,-35.067,139.227
Small,YGDS,GGD,,Gregory Downs Airport,3000 ft,-18.625,139.233
Small,YADS,AWN,,Alton Downs Airport,,-26.533,139.267
Small,YSFL,,,Stonefield Gliding,,-34.342,139.308
Small,YNIN,,,Meningie Airport,,-35.7,139.333
Small,YBLC,LCN,,Balcanoona Airport,,-30.535,139.337
Small,YARK,,,Arkaroola Airport,,-30.407,139.346
Medium,YBDV,BVI,,BIRDSVILLE,5682 ft,-25.898,139.347
Small,YWEO,,,Wertaloona Airport,,-30.65,139.35
Small,YGPR,,,Gunpowder Airport,,-19.7,139.367
Small,YTNN,,,Tenneco Station Four Airport,,-31.183,139.383
Small,YPDI,PDE,,Pandie Pandie Airport,,-26.117,139.4
Small,YCTS,,,Calton Hills Airport,,-20.133,139.417
Small,YESC,,,Escott Airport,3000 ft,-17.725,139.417
Small,YERU,,,Erudina Airport,,-31.434,139.425
Small,YWLN,,,Wooltana Airport,,-30.422,139.436
Medium,YBIE,BEU,,BEDOURIE,4921 ft,-24.346,139.46
Small,YFTN,,,Mount Fitton Talc Airport,,-29.909,139.474
Small,YDAJ,DJR,,Dajarra Airport,,-21.708,139.533
Small,YBKT,BUC,,BURKETOWN,4501 ft,-17.749,139.534
Small,YYUN,,,Yunta Airport,,-32.583,139.55
Small,YBEE,,,Beverley Airport,,-30.187,139.558
Small,YBTK,,,Bentinck Island Airport,,-17.087,139.566
Small,YSWE,,,Sweers Island Resort Airport,,-17.122,139.598
Small,YGLE,GLG,,Glengyle Airport,,-24.808,139.6
Small,YUNY,CZY,,Cluny Airport,,-24.517,139.617
Small,YALY,,,Alderley Airport,,-22.483,139.633
Small,YRSB,RSB,,Roseberth Airport,3000 ft,-25.833,139.65
Small,YTEC,,,Tenneco Station Three Airport,,-30.337,139.665
Small,YMWX,MXD,,Marion Downs Airport,,-23.367,139.667
Small,YBHK,,,Bushy Park Airport,,-21.267,139.717
Small,YSBO,,,Stanbroke Airport,,-21.567,139.717
Small,YFRD,,,Frome Downs Airport,,-31.217,139.75
Small,YMWT,,,Moolawatana Airport,,-29.917,139.75
Small,YAML,,,Armraynald Airport,,-17.967,139.767
Small,YPMB,,,Plumbago Airport,,-32.053,139.872
Small,YKIG,,,Kingston Airport,,-36.823,139.875
Small,YAGD,AUD,,Augustus Downs Airport,3000 ft,-18.515,139.878
Medium,YBOU,BQL,,BOULIA,4180 ft,-22.913,139.9
Small,YLOR,LOA,,Lorraine Airport,3000 ft,-18.993,139.907
Small,YTMO,PHQ,,THE MONUMENT,6233 ft,-21.811,139.924
Small,YTOS,,,Tenneco Station Two Airport,,-29.55,139.95
Small,YWER,,,Wernadinga Airport,,-18.133,139.967
Small,YWKI,,,WAIKERIE,3151 ft,-34.184,140.031
Small,YKAJ,,,Kajabbi Airport,,-20.033,140.033
Small,YTNE,,,Tenneco Station One Airport,,-28.733,140.05
Small,YKML,KML,,Kamileroi Airport,3000 ft,-19.375,140.057
Small,YTIN,,,Tintinara Airport,,-35.867,140.067
Small,YOOM,MOO,,MOOMBA,5636 ft,-28.099,140.197
Small,YDRI,DRR,,Durrie Airport,3000 ft,-25.685,140.228
Small,YDEV,,,Devoncourt Airport,,-21.217,140.233
Small,YKTH,,,Keith Airport,,-36.108,140.242
Small,YCNG,,,Cooranga Airport,,-36.82,140.273
Small,YCTH,,,Chatsworth Airport,,-21.967,140.3
Small,YMYT,RTY,,Merty Merty Airport,,-28.583,140.317
Small,YSTR,,,Strathearn Airport,,-31.767,140.333
Small,YLUI,,,Lucindale Airport,,-36.972,140.352
Small,YMCT,MLR,,MILLICENT,3937 ft,-37.584,140.366
Small,YGNA,,,Granada Airport,,-20.1,140.367
Small,YCLE,,,Callendale Airport,,-37.243,140.445
Small,YQON,,,Quondong Airport,,-33.163,140.452
Small,YBMR,,,Barmera Airport,,-34.257,140.458
Small,YPDY,,,Padthaway Station Airport,,-36.617,140.483
Small,YLUL,,,Mooleulooloo Airport,,-31.633,140.533
Small,YMNK,ONR,,Monkira Airport,3000 ft,-24.817,140.533
Small,YDOO,,,Donors Hill Airport,,-18.717,140.55
Small,YLAO,,,Lameroo Airport,,-35.367,140.55
Small,YOSB,OSO,,OSBORNE MINE,6550 ft,-22.082,140.555
Small,YINV,,,Inverleigh Airport,,-18.017,140.567
Small,YLOX,,,Loxton Airport,3800 ft,-34.475,140.663
Medium,YREN,RMK,,RENMARK,5709 ft,-34.196,140.674
Small,YCGH,,,Clonagh Airport,,-20.133,140.683
Small,YSPV,KSV,,Springvale Airport,,-23.55,140.7
Small,YNRC,NAC,,NARACOORTE,3438 ft,-36.985,140.725
Small,YINN,INM,,Innamincka Airport,3000 ft,-27.7,140.733
Small,YBEO,BTX,,Betoota Airport,3000 ft,-25.642,140.783
Medium,YMTG,MGB,,MOUNT GAMBIER,5000 ft,-37.746,140.785
Small,YCNQ,,,Coonawarra Airport,,-37.283,140.8
Small,YTOA,,,Toolachie Airport,,-28.408,140.81
Small,YKMB,KRB,,Karumba Airport,4100 ft,-17.457,140.83
Small,YBLG,,,Bollards Lagoon Airport,,-28.983,140.85
Small,YDGI,,,Dullingari Airport,,-28.133,140.882
Small,YTEE,TQP,,TREPELL,5903 ft,-21.835,140.888
Small,YCAM,,,Cannington Station Airport,,-21.875,140.9
Small,YPNN,,,Pinnaroo Airport,,-35.253,140.943
Small,YAND,,,Answer Downs Airport,,-21.667,140.983
Small,YMOO,OOR,,Mooraberree Airport,,-25.25,140.983
Small,YARY,AAB,,Arrabury Airport,3000 ft,-26.7,141.05
Medium,YNTN,NTN,,NORMANTON,5499 ft,-17.684,141.07
Small,YDPD,DVP,,Davenport Downs Airport,3000 ft,-24.15,141.108
Small,YSDW,,,Strathdownie Airport,,-37.732,141.125
Small,YNAP,NMR,,Nappa Merrie Airport,3000 ft,-27.558,141.133
Small,YSCA,,,Scotia Sanctuary Airport,,-33.207,141.173
Small,YEPL,,,Epsilon Airport,,-28.283,141.2
Small,YOMI,,,Omicron Station Airport,,-28.767,141.2
Small,YIFY,IFF,,Iffley Airport,3000 ft,-18.9,141.217
Small,YKNV,,,Kaniva Airport,,-36.383,141.25
Small,YEDE,,,Edenhope Airport,,-37.017,141.267
Small,YMCK,,,Mckinley Airport,,-21.283,141.288
Small,YDLT,DDN,,Delta Downs Airport,3000 ft,-16.992,141.317
Small,YCTN,,,Casterton Airport,,-37.6,141.4
Small,YWSD,,,Westward Downs Airport,,-30.725,141.4
Small,YYAA,,,Yandama Airport,,-29.683,141.425
Small,YMNY,OXY,,Morney Airport,3000 ft,-25.358,141.433
Small,YIKM,IKP,,Inkerman Airport,,-16.275,141.442
Small,YCNA,,,Corona Station Airport,,-31.291,141.452
Medium,YPOD,PTJ,,PORTLAND,5302 ft,-38.318,141.471
Small,YCUD,,,Cuddapan Airport,,-25.59,141.508
Small,YWNI,,,Wathanin Airport,,-13.7,141.55
Small,YMLL,,,Millungera Airport,,-19.858,141.562
Small,,BHT,,Brighton Downs Airport,,-23.364,141.563
Small,YARI,,,Arizona 1 Airport,,-21.667,141.567
Small,YKNC,,,Kencherang Airport,,-13.845,141.592
Small,YPMP,EDR,,PORMPURAAW,4462 ft,-14.897,141.609
Small,YNHL,,,NHILL,3281 ft,-36.31,141.641
Small,YTTE,,,Ti Tree Airport,,-13.985,141.657
Small,YCOL,,,Coleraine Airport,,-37.6,141.7
Small,YBXH,,,Branxholme Airport,,-37.867,141.702
Small,YAUR,AUU,,AURUKUN,4140 ft,-13.354,141.721
Small,YJLC,JCK,,JULIA CREEK,4600 ft,-20.668,141.722
Small,YTKS,,,Toorak Research Station Airport,3000 ft,-21.042,141.787
Small,YDOR,DRD,,Dorunda Airport,,-16.558,141.808
Small,YLLE,,,BALLERA,5906 ft,-27.408,141.808
Small,YRTP,RTP,,Rutland Plains Airport,3000 ft,-15.643,141.843
Small,YWTO,,,Wentworth Airport,,-34.088,141.892
Small,YACS,,,Acacia Downs Airport,,-31.417,141.9
Small,YDRH,DHD,,Durham Downs Airport,3000 ft,-27.075,141.9
Small,YKYN,,,Kynuna Airport,,-21.6,141.917
Small,YNRL,,,Naryilco Airport,,-28.55,141.917
Small,YTNB,,,Tanbar Airport,,-25.848,141.928
Small,YVRS,VNR,,Vanrook Station Airport,,-16.963,141.95
Small,YRBW,,,Rainbow Airport,,-35.917,141.983
Small,YCUT,,,Cuthero Airport,,-33.033,142.017
Small,YSOW,,,Southwell Airport,,-14.517,142.033
Medium,YTIB,TYB,,TIBOOBURRA,3202 ft,-29.451,142.058
Medium,YHML,HLT,,HAMILTON,4606 ft,-37.649,142.065
Small,YTAD,,,Tandou Lake Airport,,-32.633,142.083
Small,YSGW,ZGL,,South Galway Airport,3000 ft,-25.683,142.108
Small,YLAN,,,Langawirra Airport,,-31.45,142.133
Small,YPCH,,,Patchewollock Airport,,-35.367,142.15
Medium,YHSM,HSM,,HORSHAM,4337 ft,-36.67,142.173
Small,YBAU,BDD,,Badu Island Airport,,-10.15,142.173
Small,YKRV,,,Kendall River Airport,,-13.75,142.183
Small,YKOG,,,Koongarra Airport,,-36,142.217
Small,YBOI,GIC,,Boigu Airport,,-9.233,142.218
Small,YKUB,KUG,,KUBIN,3147 ft,-10.225,142.218
Small,YWTV,,,Watson River Airport,,-13.217,142.233
Small,YCRY,CDQ,,Croydon Airport,3000 ft,-18.225,142.258
Small,,,,Port Fairy,,-38.362,142.264
Small,YVVA,,,Victoria Valley Airport,,-37.5,142.27
Small,YGMP,,,Grampians Airport,,-37.05,142.283
Small,YMHW,,,Mount Howitt Airport,3000 ft,-26.512,142.283
Small,YWMA,,,Wonnaminta Stat Airport,,-30.651,142.342
Small,YOUY,OYN,,Ouyen Airport,,-35.089,142.354
Medium,YHPN,HTU,,HOPETOUN,3730 ft,-35.715,142.36
Small,YSDL,,,Sudley Airport,,-12.75,142.367
Small,YDBR,DNB,,Dunbar Airport,,-16.05,142.4
Small,YMED,,,Menindee Airport,,-32.367,142.405
Small,YJAK,,,Jackson Airport,5900 ft,-27.638,142.408
Small,YBEU,,,Beulah 1 Airport,,-35.95,142.417
Small,YMEP,,,Merapah Airport,,-13.717,142.417
Medium,YWKB,WKB,,WARRACKNABEAL,4501 ft,-36.321,142.419
Small,YSGD,,,Strathgordon Airport,,-14.795,142.433
Small,YWBL,WMB,,WARRNAMBOOL,4501 ft,-38.295,142.447
Small,YGDV,,,Galdeville Airport,,-20.25,142.45
Small,YKLA,,,Koolatah Airport,,-15.917,142.45
Small,YBAM,ABM,,BAMAGA INJINOO,5462 ft,-10.951,142.459
Small,YMEU,,,Merluna Airport,,-13.05,142.483
Small,YKAY,,,Kayrunnera Airport,,-30.683,142.533
Small,YCFF,,,Dadswells Bridge Airport,,-36.968,142.548
Small,YSMR,STH,,Strathmore Airport,,-17.85,142.567
Small,YHTL,,,Heathlands Airport,,-11.75,142.583
Small,YNCD,,,Noccundra Airport,,-27.8,142.583
Small,YPVD,,,Plevna Downs Airport,,-26.667,142.583
Small,YPCE,,,Pooncarie Airport,3400 ft,-33.367,142.588
Small,YALN,,,Allandy Airport,,-30.383,142.6
Small,YMWM,,,Mount William Airport,,-37.295,142.603
Small,YODL,,,Ourdel Airport,,-25.35,142.633
Small,YGWD,,,Galway Downs Airport,,-25.183,142.667
Small,YWIL,,,Wilandra Airport,,-31.283,142.667
Medium,YWDH,WNR,,WINDORAH,4508 ft,-25.413,142.667
Small,,,,Pomonal Airstrip,,-37.231,142.677
Small,YNOC,,,Nockatunga Airport,,-27.717,142.712
Small,YCWO,,,Chatsworth Airport,,-37.833,142.717
Medium,YSWL,SWC,,STAWELL,4603 ft,-37.072,142.741
Small,YROI,RBC,,Robinvale Airport,3700 ft,-34.65,142.783
Small,YSMY,,,Strathmay Airport,,-14.883,142.802
Small,YSTB,,,Strathburn Airport,,-14.482,142.817
Small,YMAG,,,Manangatang Airport,,-35.05,142.867
Small,YLBO,,,Lake Bolac Airport,,-37.683,142.883
Small,YSLK,,,Sea Lake Airport,3400 ft,-35.527,142.888
Small,YPBH,,,Peterborough Airport,,-38.6,142.917
Small,YBIR,,,BIRCHIP,3422 ft,-36,142.917
Small,YBLH,,,Bellalie Airport,,-27.033,142.95
Small,YSVN,,,Strathaven Airport,,-14.9,142.967
Small,YYLD,,,Yalda Downs Homestead Airport,,-30.261,142.977
Medium,YARA,ARY,,ARARAT,4068 ft,-37.309,142.989
Small,YDOD,,,DONALD,3825 ft,-36.36,143.007
Small,YRAM,,,Raymore Homestead Airport,,-26.15,143.017
Small,YWAT,,,Wattle Hills Airport,,-12.633,143.05
Small,YCDE,,,Cobden Airport,,-38.327,143.057
Small,YJDA,JUN,,Jundah Airport,3000 ft,-24.842,143.058
Small,YCCT,CNC,,Coconut Island Airport,,-10.05,143.07
Small,YWHC,,,White Cliffs Airport,3000 ft,-30.853,143.072
Small,YSVH,,,Silver Hills Airport,,-20.617,143.083
Medium,YWTN,WIN,,WINTON,4600 ft,-22.364,143.086
Small,YNVE,,,Navarre Airport,,-36.917,143.1
Medium,YCOE,CUQ,,COEN,4107 ft,-13.761,143.114
Small,YRMD,RCM,,RICHMOND,5000 ft,-20.702,143.115
Small,YQUE,,,Questa Park Airport,,-30.392,143.142
Small,YKUW,,,Kurweeton Airport,,-38.05,143.15
Small,YABI,ABG,,Abingdon Downs Airport,,-17.617,143.167
Small,YMPH,,,Mount Elephant Airport,,-37.9,143.167
Small,YSTA,,,SAINT ARNAUD,3278 ft,-36.637,143.186
Small,YDER,,,Derrinallum Airport,,-37.934,143.228
Small,,,,Natya Airport,,-34.968,143.233
Small,YMLN,,,Monolon Airport,,-30.2,143.233
Small,YWYF,,,Wycheproof Airport,3300 ft,-36.058,143.243
Small,YBEF,,,Beaufort Airport,,-37.45,143.25
