Size,ICAO,IATA,City,Name,Max Runway,Lat,Long
Small,YDON,,,Dowerin Airport,,-31.183,117.05
Small,YPIY,,,Pingelly Airport,,-32.54,117.073
Small,YNRG,,,Narrogin Airport,,-32.93,117.08
Small,YKAE,,,Kalannie Airport,,-30.367,117.133
Small,YKOJ,,,Kojonup Airport,,-33.767,117.133
Small,YERA,,,Errabiddy Homestead Airport,,-25.5,117.167
Small,YCUN,,,CUNDERDIN,6089 ft,-31.622,117.217
Small,YBGD,OCM,,Boolgeeda,,-22.54,117.275
Small,YDGA,DGD,,Dalgaranga Gold Mine Airport,,-27.83,117.316
Small,YMUX,,,Mileura Airport,,-26.367,117.333
Small,YWAB,,,Waldburg Homestead Airport,,-24.75,117.367
Small,YWGN,,,Wagin Airport,,-33.333,117.367
Small,YQDG,,,Quairading Airport,,-32,117.4
Small,YRLE,,,Rocklea Airport,,-22.883,117.45
Small,YCRN,,,Cranbrook Airport,,-34.283,117.55
Small,YMCE,,,Mount Clere Homestead Airport,,-25.1,117.583
Small,YKNG,KNI,,Katanning Airport,,-33.717,117.633
Small,YPYF,,,Paynes Find Airport,,-29.25,117.667
Small,YKEB,,,Kellerberrin Airport,,-31.667,117.733
Small,YDUM,,,Dumbleyung Airport,,-33.333,117.75
Small,,SLJ,,Solomon Aerodrome,,-22.255,117.763
Small,YKNM,,,Koonmarra Airport,,-26.283,117.783
Small,YCWY,COY,,Coolawanyah Airport,,-21.783,117.8
Small,YCIG,,,Corrigin Airport,,-32.333,117.817
Medium,YMOG,MMG,,MOUNT MAGNET,5906 ft,-28.116,117.842
Small,YBCB,,,Bencubbin Airport,,-30.833,117.867
Small,YBEC,,,Beacon Airport,,-30.483,117.883
Small,YKNP,,,Kununoppin Airport,,-31.133,117.9
Small,YCUE,CUY,,Cue Airport,6400 ft,-27.447,117.918
Small,YYRW,,,Yarlarweelor Airport,,-25.458,117.975
Small,YELE,,,Belele Airport,,-26.367,118.017
Small,YGNW,,,Gnowangerup Airport,,-33.983,118.033
Small,YMLA,,,Malina Airport,,-20.883,118.033
Small,YMDB,,,Mundabullangana Airport,,-20.517,118.067
Small,YBRO,,,Bruce Rock Airport,,-31.883,118.117
Small,YTUC,,,Tuckabiana Airport,,-27.475,118.125
Small,,,,Kulin Airport,,-32.672,118.169
Small,,,,Stirling Range Retreat,,-34.312,118.186
Small,,,,Lily Dutch Windmill Airstrip,,-34.225,118.216
Small,YMVR,,,Mount Vernon Station Airport,,-24.233,118.233
Small,YMKB,,,Mukinbudin Airport,,-30.933,118.25
Small,YRDY,,,Reedys Airport,,-27.132,118.28
Small,YKDN,,,Kondinin Airport,,-32.467,118.283
Small,YMDN,,,Merredin Airport,,-31.505,118.323
Small,YMIL,,,Milgun Airport,,-25.083,118.333
Small,YWIT,WIT,,Wittenoom Airport,,-22.218,118.348
Small,YFOR,,,Fortnum Airport,,-25.333,118.367
Small,YLGC,,,Lake Grace Airport,,-33.133,118.4
Small,YNRB,,,Narembeen Airport,,-32.117,118.417
Small,YLGA,,,Mulga Downs Airport,,-22.107,118.471
Medium,YMEK,MKR,,MEEKATHARRA,7156 ft,-26.612,118.548
Small,YHSL,,,Horseshoe Lights Airport,,-25.35,118.617
Small,YTRK,,,Turee Creek Airport,,-23.617,118.617
Small,YWSX,,,Westonia Airport,,-31.333,118.667
Small,YMUJ,,,Munjina Airport,,-22.366,118.681
Small,YPLL,,,Peak Hill Airport,,-25.6,118.683
Small,YWDC,,,Wodgina Airport,,-21.142,118.692
Small,,,,West Angelas Airport,,-23.136,118.707
Small,YBYA,,,Bryah Airport,,-25.533,118.733
Small,YCWA,CJF,,Coondewanna Wa Airport,,-22.967,118.813
Small,YOUN,,,Youanmi Airport,,-28.615,118.842
Small,YHYD,,,Hyden Airport,,-32.433,118.867
Small,YYDE,,,Yandee Airport,,-21.333,118.867
Small,YJGP,,,Jerramungup Airport,,-33.9,118.9
Small,YWRC,,,Wave Rock Airport,,-32.427,118.908
Small,YNDG,,,Newdegate Airport,,-33.117,119
Small,YRDM,,,Redmont Airport,,-21.967,119.017
Small,YYUM,,,Yuinmery Airport,,-28.563,119.019
Small,YTHR,,,Three Rivers Homestead Airport,,-25.133,119.117
Small,YBRY,BYP,,BARIMUNYA,6168 ft,-22.674,119.166
Small,YGPI,,,Giles Point Airport,,-23.267,119.167
Small,YDGY,,,De Grey Homestead Airport,,-20.175,119.169
Closed,YYCN,,,Yandicoogina Airport,,-22.76,119.227
Small,YATY,,,Atley Airport,,-28.217,119.25
Small,YDMF,,,Diemal Find Airport,,-29.667,119.283
Small,YRRG,,,Rhodes Ridge Airport,,-23.108,119.333
Small,YSCR,SQC,,Southern Cross Airport,3000 ft,-31.24,119.36
Small,YGID,,,Gidgee Airport,,-27.27,119.405
Small,YHIL,,,Hillside Airport,,-21.75,119.417
Small,YPLU,,,Plutonic Airport,,-25.333,119.425
Small,YLVY,,,Lake Varley Airport,,-32.708,119.513
Small,YKBG,,,Koolyanobbing Range Airport,,-30.841,119.529
Small,YMVH,,,Marvel Loch Airport,,-31.467,119.533
Small,YBUO,,,Bulloo Downs Station Airport,,-24.017,119.567
Small,YSAH,,,Sandhill Airport,,-22.8,119.617
Small,YCOG,,,Coongan Airport,,-20.683,119.667
Small,YFTA,,,Forrestania Airport,,-32.58,119.703
Small,YBUG,,,Bulga Downs Station Airport,,-28.5,119.733
Small,YMYI,,,Marymia Airport,,-25.093,119.755
Small,YLKG,,,Lake King Airport,,-33.079,119.766
Small,YMHL,,,Mount Holland Airport,,-32.118,119.768
Small,YDME,,,Mount Dimer Airport,,-30.402,119.83
Small,YMBL,MBB,,Marble Bar Airport,3000 ft,-21.163,119.833
Small,YBYD,,,Bonney Downs Station Airport,,-22.267,119.883
Small,YBOY,,,Booylgoo Springs Airport,,-27.75,119.9
Small,YRAV,,,Ravensthorpe Airport,,-33.528,119.953
Small,YRYH,RHL,,Roy Hill Station Airport,,-22.626,119.959
Small,YCPG,,,Coppins Gap Airport,,-20.95,120.033
Small,YSLV,,,Sylvania Homestead Airport,,-23.558,120.047
Small,YDPS,,,Depot Springs Airport,,-27.883,120.083
Small,YHPE,,,Hopetoun Airport,,-33.9,120.158
Small,YNUL,NLL,,Nullagine Airport,3000 ft,-21.913,120.198
Small,YNRV,RVT,,RAVENSTHORPE,5512 ft,-33.797,120.208
Medium,YWLU,WUN,,WILUNA,5942 ft,-26.629,120.221
Small,YABS,,,Albion Downs Airport,,-27.283,120.383
Small,YPCS,,,Pinnacles Homestead Airport,,-28.2,120.433
Small,YLWY,,,Lake Way Airport,,-26.945,120.47
Small,YLAW,,,Lawlers Airport,,-28.083,120.5
Medium,YMNE,WME,,MOUNT KEITH,5896 ft,-27.286,120.555
Small,YJUN,,,Jundee Airport,6800 ft,-26.422,120.577
Small,YCAI,,,Callion Airport,,-30.117,120.583
Small,YBLU,,,Bellevue Airport,,-27.615,120.612
Medium,YLST,LER,,LEINSTER,5906 ft,-27.843,120.703
Small,YJIG,,,Jiggalong Mission Airport,,-23.367,120.783
Small,YMCU,,,Mount Mcclure Airport,,-27.47,120.917
Small,YMIS,,,Millrose Homestead Airport,,-26.4,120.95
Small,YLOC,,,Lochinvar Airport,,-20.758,121.017
Small,YMZI,,,Menzies Airport,,-29.667,121.017
Small,YBWG,,,BRONZEWING,6692 ft,-27.366,121.036
Small,YCLG,,,Coolgardie Airport,,-30.95,121.15
Small,YSFI,,,Sandfire Airport,,-19.767,121.167
Small,YJEY,,,Jeedamya Airport,,-29.4,121.267
Small,YDLO,,,Darlot Airport,,-27.883,121.267
Small,YMRS,,,Melrose Airport,,-27.933,121.3
Small,YWNO,,,Wonganoo Airport,,-27.125,121.333
Small,YORW,,,Orient Well Airport,,-29.199,121.438
Small,YKOK,,,Kookynie Airport,,-29.35,121.483
Small,YAPA,,,Anna Plains Airport,,-19.267,121.517
Small,YLRG,,,Lorna Glen Homestead Airport,,-26.217,121.55
Small,YERH,,,Earaheedy Airport,,-25.6,121.583
Small,YCNF,NIF,,Camp Nifty Airport,,-21.672,121.587
Small,YBJW,,,Banjawarn Airport,,-27.667,121.6
Small,YKBL,,,Kambalda Airport,,-31.183,121.6
Small,YNSM,NSM,,Norseman Airport,3000 ft,-32.21,121.755
Small,YMLX,,,Milurie Homestead Airport,,-27.583,121.783
Small,YMNX,,,Minura Airport,,-28.883,121.8
Small,YLGB,,,La Grange Bay Airport,,-18.683,121.808
Medium,YESP,EPR,,ESPERANCE,4921 ft,-33.684,121.823
Small,YYER,,,Yerilla Airport,,-29.468,121.83
Small,YMMI,WUI,,MURRIN MURRIN,6562 ft,-28.705,121.891
Small,,,,Myrup fly in estate Airport,,-33.794,121.958
Small,YWGW,,,Wongawol Airport,,-26.133,121.967
Small,YYDM,,,Yundamindera Airport,,-29.117,122.033
Small,YMGS,,,Mount Morgans Airport,,-28.787,122.034
Small,YGLY,,,Glenayle Homestead Airport,,-25.283,122.05
Small,YTCF,,,Tracies Field,,-22.317,122.067
Small,YRUD,,,Rudal River Airport,,-22.55,122.15
Medium,YTEF,TEF,,TELFER,6562 ft,-21.715,122.229
Small,YWDA,WND,,Windarra Airport,,-28.475,122.242
Small,YPOP,,,Porphyry Airport,,-29.778,122.268
Small,YDUK,,,Duketon Airport,,-27.958,122.308
Small,YLTN,LVO,,LAVERTON,5906 ft,-28.614,122.424
Small,YMNW,,,Mount Weld Airport,,-28.772,122.44
Small,YSRD,,,Sunrise Dam Airport,,-29.102,122.45
Small,YCTC,,,Cotten Creek Airport,,-22.8,122.583
Small,YBGB,,,Beagle Bay Airport,,-16.983,122.65
Small,YPNI,,,Prenti Downs Airport,,-26.517,122.8
Small,YCOS,,,Cosmo Newberry Airport,,-27.985,122.903
Small,YLBD,,,Lombadina Airport,,-16.517,122.917
Small,YCLQ,,,Cape Leveque Airport,,-16.398,122.932
Small,YORL,,,Orleans Farm Airport,,-33.783,122.95
Small,YCGI,,,Carnegie Station Airport,,-25.8,122.967
Small,YOAP,,,One Arm Point Airport,,-16.433,123.05
Small,YCNN,,,Coonana Airport,,-31.017,123.167
Small,YPUN,,,Punmu Airport,,-22.067,123.167
Small,YBWS,,,Browse Is Airport,,-14.112,123.547
Small,YZAN,,,Zanthus Airport,,-31.033,123.567
Small,YCTI,,,Cockatoo Island Airport,,-16.083,123.617
Small,YBAL,,,Balladonia Airport,,-32.35,123.618
Medium,YDBY,DRB,,DERBY,5696 ft,-17.37,123.661
Small,YNON,,,Noondoonia Homestead Airport,,-32.283,123.667
Small,YYRN,,,Yamarna Airport,,-28.154,123.673
Medium,YCIN,DCN,,CURTIN,10003 ft,-17.581,123.828
Small,YWOX,,,Woorlba Airport,,-32.4,124.033
Small,,,,Tjukayirla Roadhouse Airstrip,,-27.155,124.585
Small,YWEX,,,Well 33 Airport,,-22.367,124.767
Small,YNKA,,,Noonkanbah Airport,,-18.5,124.833
Small,YNPD,,,Napier Downs Airport,,-17.317,124.85
Small,YKAN,,,Kanandah Airport,,-30.895,124.862
Small,YMHT,,,Mount Hart Station Airport,,-16.82,124.908
Small,YWDJ,,,Windjana Grove Airport,,-17.421,124.925
Small,YDPT,,,Depot Outcamp Airport,,-31.572,125.187
Small,YRWA,,,Rawlinna Station Airport,,-31.025,125.191
Small,YSLG,,,Silent Grove Airport,,-17.067,125.25
Small,YRAW,,,Rawlinna Airport,,-31,125.317
Small,YWFD,,,Western Field Airport,,-19.283,125.417
Small,YBYS,BVZ,,Beverley Springs Airport,3000 ft,-16.733,125.433
Small,YTJI,,,Tjirrkarli Airport,,-26.035,125.472
Small,YCAG,CGV,,Caiguna Airport,,-32.265,125.493
Small,,CBC,,Cherrabun Airport,,-18.918,125.538
Medium,YFTZ,FIZ,,FITZROY CROSSING,4265 ft,-18.182,125.559
Small,YBGI,,,Balgair Airport,,-31.067,125.667
Small,YMHO,MHO,,Mount House Airport,3000 ft,-17.055,125.71
Small,YCAJ,,,Cadjebut Airport,,-18.7,125.9
Small,YBAN,,,Mount Barnet Airport,,-16.737,125.909
Small,YCRK,CXQ,,Christmas Creek Station Airport,,-18.883,125.917
Small,YADD,,,Arubiddy Airport,,-31.8,125.933
Small,YHAG,,,Haig Airport,,-31,126.083
Small,YCKY,,,Cocklebiddy Airport,,-32.05,126.092
Small,YMTZ,,,Mount Elizabeth Airport,,-16.433,126.1
Small,YTTI,,,Troughton Is Airport,3000 ft,-13.752,126.148
Small,YMNT,,,Mornington Station Airport,,-17.394,126.229
Small,YDGN,,,Doongan Airport,,-15.4,126.3
Small,YTST,,,TRUSCOTT MUNGALALU,5643 ft,-14.09,126.381
Small,YDRD,DRY,,Drysdale River Airport,,-15.714,126.381
Small,YGIB,GBV,,Gibb River Airport,3000 ft,-16.423,126.445
Small,YWBR,,,WARBURTON,5216 ft,-26.128,126.583
Small,YORA,,,Moonerah Airport,,-31.689,126.586
Small,YKAL,UBU,,Kalumburu Airport,4200 ft,-14.288,126.632
Small,YLOU,,,Louisa Downs Airport,,-18.717,126.717
Small,YMGR,MGV,,Margaret River (Station) Airport,3000 ft,-18.622,126.883
Small,YTAB,TBL,,Tableland Homestead Airport,,-17.283,126.9
Small,YLGN,,,Loongana Airport,,-30.95,127.033
Small,YMAD,,,Madura Airport,,-31.883,127.033
Small,YTJU,,,Tjuntjuntjarra Airport,,-29.358,127.128
Small,YFWY,,,Faraway Bay Airport,,-13.981,127.181
Small,YBDF,BDW,,Bedford Downs Airport,,-17.287,127.463
Small,YBIL,BIW,,Billiluna Airport,,-19.567,127.667
Medium,YHLC,HCQ,,HALLS CREEK,4839 ft,-18.234,127.67
Small,YJAM,,,Jameson Airport,,-25.85,127.683
Small,YYGG,,,Yagga Yagga Airport,,-20.891,127.949
Small,YBGO,BQW,,Balgo Hill Airport,5200 ft,-20.148,127.973
Small,YEQO,,,El Questro Airport,,-16.008,127.975
Small,YYAG,,,Yagga Yagga Airport,,-20.967,128.083
Medium,YFRT,FOS,,FORREST,4984 ft,-30.838,128.115
Small,YWYM,WYN,,WYNDHAM,5272 ft,-15.511,128.153
Small,YMDT,,,Mundrabilla Motel Airport,,-31.827,128.23
Small,YBSR,,,Blackstone Airport,,-25.987,128.288
Small,YFLO,FVL,,Flora Valley Airport,,-18.283,128.417
Small,YARG,GYL,,ARGYLE,7546 ft,-16.637,128.451
Small,YRSK,,,Ringer Soak Airport,,-18.789,128.624
Small,YJUK,,,Tjukurla Airport,,-24.371,128.739
Small,YECL,EUC,,Eucla Airport,,-31.7,128.883
Small,YNIC,NLS,,Nicholson Airport,,-18.05,128.9
Small,YWNL,,,Wingellina Airport,,-26.067,128.95
Small,YDVR,DKV,,Docker River Airport,3000 ft,-24.86,129.07
Small,YWCM,,,Wilson's Camp Airport,,-20.101,129.126
Small,YMDV,,,Mount Davies Airport,,-26.167,129.133
